"plot_lift-1-rfile"
"Iteration" "plot_lift-1"
("Iteration" "plot_lift-1")
1 0.02364684356581392
2 -0.006206809008293845
3 -0.01084616210853717
4 -0.009568339123013914
5 -0.006143071649741483
6 -0.003872048654884885
7 -0.00218829689644795
8 1.700017233952078e-05
9 0.00208512892854501
10 0.003252001670309423
11 0.003918396175515274
12 0.004021894772272494
13 0.003775144127609653
14 0.003386820452456391
15 0.00293503679527865
16 0.002451720326449802
17 0.001985672598464328
18 0.001561068676820709
19 0.001196096514765432
20 0.0008973856330238006
21 0.0006601778611151632
22 0.0004767172305296108
23 0.0003399594687556462
24 0.0002390146626280454
25 0.0001663085235668882
26 0.0001153173879045177
27 8.044890032485319e-05
28 5.721997511551336e-05
29 4.215571335305923e-05
30 3.26713795078537e-05
31 2.689266647298849e-05
32 2.351029445743502e-05
33 2.163808948435486e-05
34 2.070867559064715e-05
35 2.034898600627999e-05
36 2.030124029958613e-05
37 2.041437036312543e-05
38 2.060208713003386e-05
39 2.081193725472774e-05
40 2.10101929454809e-05
41 2.119137787839898e-05
42 2.106143453642351e-05
43 2.106480365754448e-05
44 2.114148595702692e-05
45 2.125621603377148e-05
46 2.141317498030593e-05
47 2.15900949563641e-05
48 2.17666972698316e-05
49 2.1928135242405e-05
50 2.206593333195506e-05
